CVE ID,Vulnerability Type(s),Score
CVE-2018-20444,,5.0
CVE-2018-20443,,5.0
CVE-2018-20442,,5.0
CVE-2018-20441,,5.0
CVE-2018-20440,,5.0
CVE-2018-20439,,5.0
CVE-2018-20438,,5.0
CVE-2018-20437,Dir. Trav.,5.0
CVE-2018-20436,,6.8
CVE-2018-20433,,7.5
CVE-2018-20431,,4.3
CVE-2018-20430,,4.3
CVE-2018-20429,,6.8
CVE-2018-20428,,6.8
CVE-2018-20427,,6.8
CVE-2018-20426,,6.8
CVE-2018-20425,,6.8
CVE-2018-20424,,5.8
CVE-2018-20423,Bypass,6.8
CVE-2018-20422,Bypass,6.8
CVE-2018-20421,DoS,5.0
CVE-2018-20420,Dir. Trav.,5.5
CVE-2018-20419,CSRF,6.8
CVE-2018-20418,XSS,3.5
CVE-2018-20410,Overflow,5.0
CVE-2018-20409,,4.3
CVE-2018-20408,,4.3
CVE-2018-20407,,4.3
CVE-2018-20406,Overflow,5.0
CVE-2018-20405,XSS,4.0
CVE-2018-20404,DoS,7.8
CVE-2018-20402,,6.5
CVE-2018-20401,,5.0
CVE-2018-20400,,5.0
CVE-2018-20399,,5.0
CVE-2018-20398,,5.0
CVE-2018-20397,,5.0
CVE-2018-20396,,5.0
CVE-2018-20395,,5.0
CVE-2018-20394,,5.0
CVE-2018-20393,,5.0
CVE-2018-20392,,5.0
CVE-2018-20391,,5.0
CVE-2018-20390,,5.0
CVE-2018-20389,,5.0
CVE-2018-20388,,5.0
CVE-2018-20387,,5.0
CVE-2018-20386,,5.0
CVE-2018-20385,,5.0
CVE-2018-20384,,5.0
CVE-2018-20383,,5.0
CVE-2018-20382,,5.0
CVE-2018-20381,,5.0
CVE-2018-20380,,5.0
CVE-2018-20379,XSS,2.6
CVE-2018-20377,,10.0
CVE-2018-20376,,4.3
CVE-2018-20375,,4.3
CVE-2018-20374,,4.3
CVE-2018-20373,XSS,3.5
CVE-2018-20372,XSS,3.5
CVE-2018-20371,Bypass +Info,5.0
CVE-2018-20370,XSS,3.5
CVE-2018-20369,XSS,4.3
CVE-2018-20368,XSS,3.5
CVE-2018-20367,XSS,4.3
CVE-2018-20365,Overflow,4.3
CVE-2018-20364,,4.3
CVE-2018-20363,,4.3
CVE-2018-20362,,4.3
CVE-2018-20361,DoS Overflow,4.3
CVE-2018-20360,DoS Overflow,4.3
CVE-2018-20359,DoS Overflow,4.3
CVE-2018-20358,DoS Overflow,4.3
CVE-2018-20357,,4.3
CVE-2018-20351,XSS,4.3
CVE-2018-20349,DoS,4.3
CVE-2018-20348,DoS,1.9
CVE-2018-20346,Exec Code Overflow,6.8
CVE-2018-20345,,3.5
CVE-2018-20342,Exec Code,7.2
CVE-2018-20339,XSS,4.3
CVE-2018-20338,Sql,7.5
CVE-2018-20337,DoS Overflow,6.8
CVE-2018-20332,Dir. Trav.,5.0
CVE-2018-20331,DoS Exec Code Overflow,7.2
CVE-2018-20330,Overflow,6.8
CVE-2018-20329,Sql,5.5
CVE-2018-20328,XSS,3.5
CVE-2018-20327,XSS,3.5
CVE-2018-20325,Exec Code,7.5
CVE-2018-20322,Exec Code XSS,4.3
CVE-2018-20318,,7.5
CVE-2018-20307,#NAME?,4.0
CVE-2018-20306,XSS,3.5
CVE-2018-20305,Exec Code Overflow,7.5
CVE-2018-20304,DoS Overflow,4.3
CVE-2018-20303,Dir. Trav.,5.0
CVE-2018-20302,XSS,4.3
CVE-2018-20301,,4.0
CVE-2018-20300,Exec Code,7.5
CVE-2018-20299,Exec Code Overflow,7.5
CVE-2018-20298,,4.3
CVE-2018-20249,Overflow,6.8
CVE-2018-20248,Overflow,7.5
CVE-2018-20247,Overflow,6.8
CVE-2018-20231,CSRF,6.8
CVE-2018-20230,DoS Overflow,6.8
CVE-2018-20228,CSRF,6.0
CVE-2018-20227,Dir. Trav.,6.4
CVE-2018-20226,,6.5
CVE-2018-20217,,3.5
CVE-2018-20216,,5.0
CVE-2018-20213,DoS Overflow,5.0
CVE-2018-20201,DoS,6.8
CVE-2018-20199,DoS,4.3
CVE-2018-20198,DoS,4.3
CVE-2018-20197,DoS,6.8
CVE-2018-20196,DoS Overflow,6.8
CVE-2018-20195,DoS,4.3
CVE-2018-20194,DoS,6.8
CVE-2018-20193,,4.0
CVE-2018-20191,DoS,5.0
CVE-2018-20190,DoS,4.3
CVE-2018-20189,DoS,4.3
CVE-2018-20188,CSRF,6.8
CVE-2018-20186,,4.3
CVE-2018-20185,DoS,2.6
CVE-2018-20184,DoS Overflow,4.3
CVE-2018-20173,Sql,7.5
CVE-2018-20172,XSS,4.3
CVE-2018-20171,XSS,4.3
CVE-2018-20170,#NAME?,5.0
CVE-2018-20169,,7.2
CVE-2018-20168,DoS,4.3
CVE-2018-20167,Exec Code,6.8
CVE-2018-20161,,3.3
CVE-2018-20159,Exec Code,6.5
CVE-2018-20157,,5.0
CVE-2018-20156,Exec Code,6.5
CVE-2018-20155,Bypass,4.0
CVE-2018-20154,#NAME?,4.0
CVE-2018-20153,XSS,3.5
CVE-2018-20152,Bypass,4.0
CVE-2018-20151,#NAME?,5.0
CVE-2018-20150,XSS,4.3
CVE-2018-20149,XSS Bypass,3.5
CVE-2018-20148,,7.5
CVE-2018-20147,Bypass,5.5
CVE-2018-20145,Bypass,5.0
CVE-2018-20138,XSS,3.5
CVE-2018-20137,XSS,3.5
CVE-2018-20136,XSS,3.5
CVE-2018-20133,,7.5
CVE-2018-20129,Exec Code,6.5
CVE-2018-20128,Dir. Trav.,6.4
CVE-2018-20127,,6.4
CVE-2018-20126,,2.1
CVE-2018-20125,DoS,5.0
CVE-2018-20124,,2.1
CVE-2018-20123,,2.1
CVE-2018-20103,,5.0
CVE-2018-20102,,5.0
CVE-2018-20101,XSS,4.3
CVE-2018-20099,DoS,4.3
CVE-2018-20098,DoS,4.3
CVE-2018-20097,DoS Overflow,4.3
CVE-2018-20096,DoS,4.3
CVE-2018-20095,,4.3
CVE-2018-20094,Dir. Trav.,5.0
CVE-2018-20092,Dir. Trav.,5.0
CVE-2018-20064,Dir. Trav.,5.0
CVE-2018-20062,Exec Code,7.5
CVE-2018-20061,Sql,5.0
CVE-2018-20060,,5.0
CVE-2018-20059,,7.5
